DATE,LRUN64TTUSM156S
1970-01-01,3.89405433225166
1970-02-01,4.23422598229835
1970-03-01,4.3811753364869
1970-04-01,4.58142211917916
1970-05-01,4.6729589138583
1970-06-01,5.17644001036143
1970-07-01,5.21304858046807
1970-08-01,5.26367605438375
1970-09-01,5.47906273414655
1970-10-01,5.6708991734584
1970-11-01,5.86344003627244
1970-12-01,5.9398838751253
1971-01-01,5.99205159082362
1971-02-01,5.97013209012263
1971-03-01,6.01723968851014
1971-04-01,5.9847984886905
1971-05-01,6.00158384097504
1971-06-01,6.07593710097696
1971-07-01,6.13473495090222
1971-08-01,6.19496235983725
1971-09-01,6.07142668639565
1971-10-01,5.98594220912645
1971-11-01,6.04187637698153
1971-12-01,5.92617610959113
1972-01-01,5.92400245045341
1972-02-01,5.78982693224231
1972-03-01,5.88246949596528
1972-04-01,5.80796686145724
1972-05-01,5.74048034414612
1972-06-01,5.79188209475424
1972-07-01,5.75733057067195
1972-08-01,5.7212836663917
1972-09-01,5.62096050493385
1972-10-01,5.63331193242889
1972-11-01,5.23355769204773
1972-12-01,5.10075140108401
1973-01-01,5.0127072075916
1973-02-01,5.10695272162658
1973-03-01,5.00736636339008
1973-04-01,5.07601177992539
1973-05-01,4.91162995063835
1973-06-01,5.03731198733567
1973-07-01,4.94058661603375
1973-08-01,4.87441046883087
1973-09-01,4.89459014558733
1973-10-01,4.65616049222609
1973-11-01,4.836424475581
1973-12-01,4.89550982374514
1974-01-01,5.1529527222439
1974-02-01,5.22070359269203
1974-03-01,5.11172068901365
1974-04-01,5.0842301361712
1974-05-01,5.19238129565334
1974-06-01,5.52161838893422
1974-07-01,5.60810481021606
1974-08-01,5.53887045350402
1974-09-01,6.00398974869308
1974-10-01,6.08166818310758
1974-11-01,6.6436216537917
1974-12-01,7.17993131056197
1975-01-01,8.20365578485641
1975-02-01,8.27536637992586
1975-03-01,8.72964976454187
1975-04-01,8.93171085933246
1975-05-01,9.16550067656632
1975-06-01,8.64921729410069
1975-07-01,8.59026721219864
1975-08-01,8.53257581991233
1975-09-01,8.58431584542869
1975-10-01,8.5268668410915
1975-11-01,8.26822134577822
1975-12-01,8.21088574295918
1976-01-01,8.03124358236799
1976-02-01,7.87215534440282
1976-03-01,7.71797009366002
1976-04-01,7.75870175945197
1976-05-01,7.46794220137264
1976-06-01,7.59803742289285
1976-07-01,7.72425993231836
1976-08-01,7.85913776305435
1976-09-01,7.78255754902343
1976-10-01,7.80801209868115
1976-11-01,7.85391928854166
1976-12-01,7.84061530072883
1977-01-01,7.5657382831993
1977-02-01,7.73051414687308
1977-03-01,7.56950007157559
1977-04-01,7.2273319647866
1977-05-01,7.0529774867604
1977-06-01,7.20807154043177
1977-07-01,6.93609776673459
1977-08-01,7.06037458923964
1977-09-01,6.88705504899433
1977-10-01,6.85784975448484
1977-11-01,6.78959885164024
1977-12-01,6.38698192705142
1978-01-01,6.4854814571664
1978-02-01,6.33828608664651
1978-03-01,6.35024663681823
1978-04-01,6.08447293135375
1978-05-01,6.03802582689078
1978-06-01,5.96450998839807
1978-07-01,6.22644697690488
1978-08-01,6.01445395738727
1978-09-01,6.02998121848387
1978-10-01,5.87398970268499
1978-11-01,5.92534738894153
1978-12-01,6.07575562595324
1979-01-01,5.91883762645024
1979-02-01,5.94638084629189
1979-03-01,5.90128638602056
1979-04-01,5.83371677085772
1979-05-01,5.67934730159389
1979-06-01,5.81753709089062
1979-07-01,5.82382823119106
1979-08-01,6.09292964052117
1979-09-01,5.93950705527251
1979-10-01,6.05863368815378
1979-11-01,5.99188156631386
1979-12-01,6.08892202284726
1980-01-01,6.34826122723492
1980-02-01,6.3311663857928
1980-03-01,6.45376047432811
1980-04-01,6.98738450468158
1980-05-01,7.61929925897267
1980-06-01,7.60497075326705
1980-07-01,7.85637383794785
1980-08-01,7.85581524784532
1980-09-01,7.61724635446238
1980-10-01,7.72268354078259
1980-11-01,7.58341080502568
1980-12-01,7.40314446450868
1981-01-01,7.57358135354396
1981-02-01,7.49029194927946
1981-03-01,7.49339141595018
1981-04-01,7.36657203173942
1981-05-01,7.64959837254684
1981-06-01,7.5311141772595
1981-07-01,7.37389417670796
1981-08-01,7.53310814133356
1981-09-01,7.73207281257092
1981-10-01,8.09716594790556
1981-11-01,8.42410614393046
1981-12-01,8.78684783409681
1982-01-01,8.73950971434132
1982-02-01,8.95116291207449
1982-03-01,9.20876600839812
1982-04-01,9.56119313080969
1982-05-01,9.69500148638288
1982-06-01,9.61779226686609
1982-07-01,9.91850313662926
1982-08-01,10.0280148734779
1982-09-01,10.3209183393993
1982-10-01,10.6536026825866
1982-11-01,10.9497469007787
1982-12-01,11.1131821983659
1983-01-01,10.5829542399245
1983-02-01,10.5386906899906
1983-03-01,10.5310881277941
1983-04-01,10.4620445897017
1983-05-01,10.3888371291006
1983-06-01,10.0478867878313
1983-07-01,9.48292905749551
1983-08-01,9.60019739399721
1983-09-01,9.29960351365863
1983-10-01,9.03342911607126
1983-11-01,8.63372040474137
1983-12-01,8.51550386110559
1984-01-01,8.14808208401464
1984-02-01,7.89017041717528
1984-03-01,7.88562759608453
1984-04-01,7.90642966734819
1984-05-01,7.61909520423953
1984-06-01,7.31926782890886
1984-07-01,7.55321826385112
1984-08-01,7.57856060194809
1984-09-01,7.47766758572496
1984-10-01,7.48288710402958
1984-11-01,7.29138531513066
1984-12-01,7.44285727093313
1985-01-01,7.45964996382431
1985-02-01,7.31801637002085
1985-03-01,7.33966193507008
1985-04-01,7.4138854933314
1985-05-01,7.36824292805231
