date,Monthly Real GDP Index
2012 - Sep,15396.871
2012 - Oct,15297.191
2012 - Nov,15366.818
2012 - Dec,15488.936
2013 - Jan,15549.113
2013 - Feb,15434.592
2013 - Mar,15492.205
2013 - Apr,15534.93
2013 - May,15447.715
2013 - Jun,15582.327
2013 - Jul,15604.044
2013 - Aug,15674.133
2013 - Sep,15646.17
2013 - Oct,15732.083
2013 - Nov,15841.499
2013 - Dec,15808.62
2014 - Jan,15703.792
2014 - Feb,15766.286
2014 - Mar,15803.116
2014 - Apr,15874.715
2014 - May,15945.68
2014 - Jun,15987.633
2014 - Jul,16091.238
2014 - Aug,16198.219
2014 - Sep,16129.628
2014 - Oct,16201.314
2014 - Nov,16234.402
2014 - Dec,16225.392
2015 - Jan,16328.114
2015 - Feb,16394.457
2015 - Mar,16327.676
2015 - Apr,16428.113
2015 - May,16435.83
2015 - Jun,16518.957
2015 - Jul,16474.899
2015 - Aug,16510.265
2015 - Sep,16597.818
2015 - Oct,16539.156
2015 - Nov,16528.631
2015 - Dec,16575.258
2016 - Jan,16558.456
2016 - Feb,16496.25
2016 - Mar,16660.207
2016 - Apr,16696.704
2016 - May,16634.301
2016 - Jun,16659.666
2016 - Jul,16686.562
2016 - Aug,16800.08
2016 - Sep,16847.776
2016 - Oct,16727.166
2016 - Nov,16907.772
2016 - Dec,16919.325
2017 - Jan,16854.337
2017 - Feb,16885.398
2017 - Mar,16969.991
2017 - Apr,16902.089
2017 - May,17058.224
2017 - Jun,17132.94
2017 - Jul,17112.918
2017 - Aug,17160.175
2017 - Sep,17218.643
2017 - Oct,17198.244
2017 - Nov,17309.881
2017 - Dec,17351.44
2018 - Jan,17333.609
2018 - Feb,17385.141
2018 - Mar,17411.662
2018 - Apr ,17521.43
2018 - May,17609.322
2018 - Jun,17571.546
